series,beta.BRAY.BAL
BS19005,0.378359662
BS19013,0.157639752
BS19023,0.566130736
BS19031,0.278043686
BS19032,0.291877515
BS19048,0.557337286
NFD21_01,0.496941574
NFD21_02,0.363366704
NFD21_03,0.245647969
NFD21_04,0.402556369
NFD21_05,0.288727931
NFD21_06,0.485618542
NFD21_07,0.543593942
NFD21_08,0.484095064
NFD21_09,0.37596417
NFD21_10,0.606335697
NFD21_11,0.375176305
NFD21_12,0.374625835
NFD21_13,0.165506221
NFD21_14,0.661772905
NFD21_15,0.505799026
NFD21_16,0.345267155
NFD21_17,0.361092978
NFD21_18,0.477420554
NFD21_20,0.510680051
NFD21_21,0.328947368
NFD21_23,0.442968963
NFD21_24,0.318037058
NFD21_26,0.337130053
NFD21_27,0.394512772
NFD21_28,0.56959099
NFD21_30,0.323017408
NFD21_31,0.539492794
NFD21_33,0.542495479
NFD21_34,0.411170929
NFD21_35,0.132032147
NFD21_36,0.290932237
NFD21_37,0.415937217
NFD21_38,0.310020104
NFD21_39,0.624569008
NFD21_40,0.358680057
NFD21_42,0.418304388
NFD21_43,0.002785515
NFD21_44,0.222222222
NFD21_45,0
NFD21_46,0.70029098
NFD21_47,0.087078652
NFD21_48,0.397810219
NFD21_49,0
NFD21_50,0.117734724
NFD21_51,0.551282051
NFD21_52,0.67934224
NFD21_53,0.435294118
NFD21_54,0.266666667
NFD21_55,0.461538462
NFD21_56,0.421960784
NFD21_57,0.343324251
NFD21_58,0.516304348
NFD21_59,0.46171875
NFD21_60,0.258117444
NFD21_61,0.388432095
NFD21_62,0.120984158
NFD21_63,0.289491602
NFD21_64,0.387926719
RZ2214,0.38870674
RZ2215,0.516425909
RZ2216,0.287151785
RZ2217,0.442719964
RZ2218,0.393494229
RZ2219,0.432252388
SB18008,0.362367467
SB18019,0.402943963
SB18024,0.281207972
SB18025,0.35913758
SB18029,0.261408552
SB20033,0.279945737
SB20060,0.488518944
SB20061,0.22432673
SB20062,0.216904597
SB20063,0.221690404
SB20077,0.5900978
SB20078,0.326691206
SB20079,0.163447986
SB20081,0.572103887
SB20083,0.179289164
SB20084,0.357162097
SB20086,0.38441354
SB20100,0.678082613
SB20101,0.282511464
SB20102,0.306928727
SB20103,0.174504515
SB20104,0.427669751
SB20112,0.335808729
SB20113,0.603424376
SB20120,0.481572675
SB20121,0.265276876
SB20122,0.57210875
SB20129,0.21
SB20130,0.270616463
SB20136,0.606699929
SB20139,0.314334259
SB20150,0.335877863
SB20152,0.218484376
SB20160,0.288589779
SB20169,0.267011197
SB20172,0.258783276
SB20178,0.15192326
UA_Cr_01,0.436815501
UA_Cr_02,0.783972125
UA_Cr_03,0.124004603
UA_Cr_04,0.244208091
UA_Cr_05,0.758042409
UA_Cr_06,0.170172938
UA_Cr_07,0.648194942
UA_Cr_08,0.634774565
UA_MJ_01,0.378546099
UA_MJ_02,0.230034722
UA_MJ_03,0.34996717
UA_MJ_04,0.435773481
UA_MJ_05,0.434810952
UA01,0.44789644
UA02,0.412316176
UA03,0.795658683
UA04,0.504303984
UA05,0.46369637
UA06,0.537741486
UA07,0.553205307
UA08,0.427812223
UA09,0.273556231
UA10,0.376044568
UA11,0.612958227
UA12,0.638677686
UA13,0.433702114
UA14,0.487534435
UA15,0.385628743
UA16,0.194421199
UA17,0.677416073
UA18,0.350237718
UA19,0.381861575
UA20,0.375050628
UA21,0.431590258
UAS01,0.275241612
UAS02,0.400053019
UAS03,0.18272538
UAS04,0.273578664
UAS05,0.246507274
UAS06,0.394352941
UAS09,0.06054502
UAS10,0.265817094
UAS11,0.308910665
UAS12,0.326416311
UAS13,0.323501233
UAS14,0.270358456
UAS15,0.551228114
UAS16,0.093584417
UAS17,0.384631941
UAS18,0.293256012
UAS19,0.416294497
UAS20,0.179034641
UAS21,0.225605124
UAS22,0.264792033
UAS23,0.515647744
UAS24,0.380816791
UAS25,0.62999121
UAS26,0.610559867
UAS27,0.183952641
UAS28,0.205147134
UAS29,0.360692255
UAS30,0.337680522
UAS31,0.242582867
UAS32,0.262568685
UAS33,0.180947728
UAS34,0.160913893
UAS35,0.510785896
UAS36,0.489254488
UAS37,0.15394519
UAS38,0.010309278
UAS39,0.092044403
UAS40,0.501442981
UAS41,0.330961205
UAS42,0.332541568
UAS43,0.305850428
UAS44,0.230179921
UAS45,0.51109492
UAS46,0.544693588
UAS47,0.372936786
UAS48,0.501974977
UAS49,0.376738153
UAS50,0.481258912
UAS51,0.680965054
UAS55,0.309984858
