dataset,plotID,series,subplot,scale,type,metric,value
1,UA01NW,UA01,NW,10,alpha,div,44
1,UA01NW,UA01,NW,10,alpha,ENSPIE,6.732529311721022
1,UA01NW,UA01,NW,10,alpha,cover,154.5
1,UA01SE,UA01,SE,10,alpha,div,53
1,UA01SE,UA01,SE,10,alpha,ENSPIE,8.477309795058183
1,UA01SE,UA01,SE,10,alpha,cover,166.6
1,UA02NW,UA02,NW,10,alpha,div,48
1,UA02NW,UA02,NW,10,alpha,ENSPIE,7.5929699862936575
1,UA02NW,UA02,NW,10,alpha,cover,184.42
1,UA02SE,UA02,SE,10,alpha,div,50
1,UA02SE,UA02,SE,10,alpha,ENSPIE,12.85932792584009
1,UA02SE,UA02,SE,10,alpha,cover,163.2
1,UA03NW,UA03,NW,10,alpha,div,53
1,UA03NW,UA03,NW,10,alpha,ENSPIE,8.434120248738353
1,UA03NW,UA03,NW,10,alpha,cover,133.6
1,UA03SE,UA03,SE,10,alpha,div,40
1,UA03SE,UA03,SE,10,alpha,ENSPIE,9.661142603867777
1,UA03SE,UA03,SE,10,alpha,cover,143.9
1,UA04NW,UA04,NW,10,alpha,div,48
1,UA04NW,UA04,NW,10,alpha,ENSPIE,9.990694205951199
1,UA04NW,UA04,NW,10,alpha,cover,81.32
1,UA04SE,UA04,SE,10,alpha,div,57
1,UA04SE,UA04,SE,10,alpha,ENSPIE,13.477766555734005
1,UA04SE,UA04,SE,10,alpha,cover,221
1,UA05NW,UA05,NW,10,alpha,div,30
1,UA05NW,UA05,NW,10,alpha,ENSPIE,6.213649399761427
1,UA05NW,UA05,NW,10,alpha,cover,121.2
1,UA05SE,UA05,SE,10,alpha,div,35
1,UA05SE,UA05,SE,10,alpha,ENSPIE,6.246127826613492
1,UA05SE,UA05,SE,10,alpha,cover,122.3
1,UA06NW,UA06,NW,10,alpha,div,47
1,UA06NW,UA06,NW,10,alpha,ENSPIE,11.893085656342539
1,UA06NW,UA06,NW,10,alpha,cover,150.63
1,UA06SE,UA06,SE,10,alpha,div,38
1,UA06SE,UA06,SE,10,alpha,ENSPIE,4.45126907782181
1,UA06SE,UA06,SE,10,alpha,cover,170.52
1,UA07NW,UA07,NW,10,alpha,div,51
1,UA07NW,UA07,NW,10,alpha,ENSPIE,6.8853130129198385
1,UA07NW,UA07,NW,10,alpha,cover,107.79
1,UA07SE,UA07,SE,10,alpha,div,41
1,UA07SE,UA07,SE,10,alpha,ENSPIE,8.914502273875694
1,UA07SE,UA07,SE,10,alpha,cover,118.8
1,UA08NW,UA08,NW,10,alpha,div,49
1,UA08NW,UA08,NW,10,alpha,ENSPIE,9.844231972258479
1,UA08NW,UA08,NW,10,alpha,cover,112.9
1,UA08SE,UA08,SE,10,alpha,div,52
1,UA08SE,UA08,SE,10,alpha,ENSPIE,7.46182386677873
1,UA08SE,UA08,SE,10,alpha,cover,130.9
1,UA09NW,UA09,NW,10,alpha,div,61
1,UA09NW,UA09,NW,10,alpha,ENSPIE,14.484707456694673
1,UA09NW,UA09,NW,10,alpha,cover,98.7
1,UA09SE,UA09,SE,10,alpha,div,55
1,UA09SE,UA09,SE,10,alpha,ENSPIE,17.121858732380204
1,UA09SE,UA09,SE,10,alpha,cover,122.54
1,UA10NW,UA10,NW,10,alpha,div,34
1,UA10NW,UA10,NW,10,alpha,ENSPIE,5.002254431123242
1,UA10NW,UA10,NW,10,alpha,cover,152.2
1,UA10SE,UA10,SE,10,alpha,div,44
1,UA10SE,UA10,SE,10,alpha,ENSPIE,7.3241249976321425
1,UA10SE,UA10,SE,10,alpha,cover,107.7
1,UA11NW,UA11,NW,10,alpha,div,33
1,UA11NW,UA11,NW,10,alpha,ENSPIE,4.895830145779442
1,UA11NW,UA11,NW,10,alpha,cover,117.3
1,UA11SE,UA11,SE,10,alpha,div,41
1,UA11SE,UA11,SE,10,alpha,ENSPIE,5.375288573159274
1,UA11SE,UA11,SE,10,alpha,cover,169.3
1,UA12NW,UA12,NW,10,alpha,div,34
1,UA12NW,UA12,NW,10,alpha,ENSPIE,7.0114215395113355
1,UA12NW,UA12,NW,10,alpha,cover,187.13
1,UA12SE,UA12,SE,10,alpha,div,41
1,UA12SE,UA12,SE,10,alpha,ENSPIE,3.3789834201100404
1,UA12SE,UA12,SE,10,alpha,cover,121
1,UA13NW,UA13,NW,10,alpha,div,41
1,UA13NW,UA13,NW,10,alpha,ENSPIE,6.3252493466318205
1,UA13NW,UA13,NW,10,alpha,cover,130.68
1,UA13SE,UA13,SE,10,alpha,div,45
1,UA13SE,UA13,SE,10,alpha,ENSPIE,11.063304339589545
1,UA13SE,UA13,SE,10,alpha,cover,121.12
1,UA14NW,UA14,NW,10,alpha,div,50
1,UA14NW,UA14,NW,10,alpha,ENSPIE,7.850577537478496
1,UA14NW,UA14,NW,10,alpha,cover,145.2
1,UA14SE,UA14,SE,10,alpha,div,54
1,UA14SE,UA14,SE,10,alpha,ENSPIE,17.9887919606988
1,UA14SE,UA14,SE,10,alpha,cover,164.72
1,UA15NW,UA15,NW,10,alpha,div,55
1,UA15NW,UA15,NW,10,alpha,ENSPIE,14.611305332117924
1,UA15NW,UA15,NW,10,alpha,cover,170.8
1,UA15SE,UA15,SE,10,alpha,div,53
1,UA15SE,UA15,SE,10,alpha,ENSPIE,17.700109161991318
1,UA15SE,UA15,SE,10,alpha,cover,83.5
