"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)2",44.1988744604972,1,339,44.1988744604972,0.115341869212754,0.183240116264052,0.0602128613229394
"2","poly(pca1_clima, 2)1",11.733922616356,1,339,11.733922616356,0.0334553399592059,0.0800557974262266,0.00627851541142182
"3","poly(cover_litter, 2)2",3.95479510147626,1,339,3.95479510147626,0.0115315346452762,0.0445162145086489,0.000144301587635973
"4","grazing_intencity",3.38192432700224,1,339,3.38192432700224,0.00987763689233848,0.0413253623034088,8.34562960184724e-05
"5","poly(cover_litter, 2)1",0.844990695722628,1,339,0.844990695722628,0.00248640032619808,0.0241210799819734,6.75249406688842e-06
"6","pH",0.363640228311721,1,339,0.363640228311721,0.00107153561904003,0.0193695054922492,4.17346328996713e-06
"7","mowing1",0.251082603478057,1,339,0.251082603478057,0.000740108481161507,0.0180605531982101,3.72924037401695e-06
"8","Corg_percent",0.0733982350623844,1,339,0.0733982350623844,0.000216467099585032,0.0157697225852536,3.1221820729216e-06
"9","poly(Prec_Varieb, 2)1",47.8755742304091,1,339,47.8755742304091,0.123749281214368,0.192815919777086,0.0668488145311393
"10","poly(Prec_Varieb, 2)2",13.2327281137094,1,339,13.2327281137094,0.0375681390669567,0.0859834741917845,0.00820728473794619
