"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(cover_litter, 2)2",16.2774752863929,1,173,16.2774752863929,0.0859979522749006,0.177263168473147,0.024066911807773
"2","poly(Corg_percent, 2)2",13.9284679223063,1,173,13.9284679223063,0.0745122884551511,0.162438689277494,0.0177053351843146
"3","poly(pca1_clima, 2)2",13.6911278160109,1,173,13.6911278160109,0.0733357175361,0.160890037558224,0.0170867782860703
"4","poly(pH, 2)1",4.47641607365292,1,173,4.47641607365292,0.0252225967409394,0.0897088758057527,0.000457200197370469
"5","poly(Corg_percent, 2)1",4.33842267837618,1,173,4.33842267837618,0.0244640874371845,0.0883804397267043,0.00040366638180135
"6","poly(cover_litter, 2)1",4.2398860269102,1,173,4.2398860269102,0.0239217374934808,0.0874234076133342,0.000368918806118015
"7","poly(pH, 2)2",4.03427376615669,1,173,4.03427376615669,0.0227880945329577,0.085402702188316,0.000304951911849575
"8","mowing1",0.778345146571019,1,173,0.778345146571019,0.00447895361136357,0.0454864260969341,1.23966364016473e-05
"9","poly(pca1_clima, 2)1",0.461914550213389,1,173,0.461914550213389,0.00266291624539677,0.0396192152860415,9.03513099710385e-06
"10","grazing_intencity",0.124425993409742,1,173,0.124425993409742,0.000718708482039837,0.0320159378092185,6.44741880905931e-06
"11","poly(Prec_Varieb, 2)1",18.1595633509671,1,173,18.1595633509671,0.0949968865414613,0.18854766044893,0.0294190202064232
"12","poly(Prec_Varieb, 2)2",3.14949981629613,1,173,3.14949981629613,0.0178796977543547,0.0762871913142082,0.000130599521322416
