,Effect,Rsq,upper.CL,lower.CL
1,"poly(pca1_clima, 2)1",3.12E-05,0.028853698,5.72E-06
2,"poly(pca1_clima, 2)2",0.017981224,0.076482662,0.000132943
3,"poly(Prec_Varieb, 2)1",2.71E-05,0.028834352,5.72E-06
4,"poly(Prec_Varieb, 2)2",0.00177553,0.036363209,7.74E-06
5,"poly(Corg_percent, 2)1",0.004373309,0.045168067,1.22E-05
6,"poly(Corg_percent, 2)2",0.043568313,0.119212702,0.00414635
7,"poly(pH, 2)2",0.001661032,0.035919076,7.59E-06
8,"poly(pH, 2)1",0.003317043,0.041838564,1.01E-05
9,"poly(cover_litter, 2)1",0.006050102,0.049969996,1.63E-05
10,"poly(cover_litter, 2)2",0.059896467,0.142734104,0.010528964
11,grazing_intencity,0.00027419,0.03000366,5.97E-06
12,mowing1,0.003577245,0.042685501,1.06E-05
13,Model,0.145542938,0.290618216,0.105655815
