"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",0.00320691708484358,1,173,0.00320691708484358,1.85367493585281e-05,0.0287929489380022,5.71140071072547e-06
"2","poly(pca1_clima, 2)2",0.00368926092932842,1,173,0.00368926092932842,2.13247529291943e-05,0.0288063630864743,5.71415621530906e-06
"3","poly(Prec_Varieb, 2)1",4.29147253965923,1,173,4.29147253965923,0.0242057470570066,0.087925332473657,0.000386761425028307
"4","poly(Prec_Varieb, 2)2",10.5663131440367,1,173,10.5663131440367,0.0575612865076491,0.139480918420155,0.0094958592099055
"5","poly(Corg_percent, 2)1",1.91631653675479,1,173,1.91631653675479,0.0109556190908704,0.0619841708848826,3.85966013311181e-05
"6","poly(Corg_percent, 2)2",0.338000156487218,1,173,0.338000156487218,0.00194994840243961,0.0370285080545161,7.98233979695554e-06
"7","poly(pH, 2)2",9.31645714174516,1,173,9.31645714174516,0.0511004727044576,0.130300567611832,0.00683117777786106
"8","poly(pH, 2)1",2.6141248521496,1,173,2.6141248521496,0.0148856184224956,0.070360901153766,7.71527944940133e-05
"9","poly(cover_litter, 2)1",5.23346859187748,1,173,5.23346859187748,0.0293629958123139,0.0967736151892782,0.000870232136395799
"10","poly(cover_litter, 2)2",0.0555282129907527,1,173,0.0555282129907527,0.000320869339247057,0.0302204879209149,6.01817925672348e-06
"11","grazing_intencity",0.18797858388269,1,173,0.18797858388269,0.00108540203205642,0.0335903371468783,6.87044029258057e-06
"12","mowing1",0.086739821871506,1,173,0.086739821871506,0.00050113499139664,0.0310456023293527,6.2089723219024e-06
"13","Model",3.62269781200346,12,173,43.4723737440416,0.200821809232081,0.343604185022232,0.147217900825605
