"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.81129376125193,0.340858525291789,200.610224084001,5.31391655732063,2.84215023583756e-07
"poly(pca1_clima, 2)1",-0.30361619608406,1.58064957842668,71.9152771966268,-0.192083179110622,0.848218406890423
"poly(pca1_clima, 2)2",-0.34758070034851,1.3992155143003,70.6892979166116,-0.248411125231358,0.804536579837854
"poly(Prec_Varieb, 2)1",6.41658144835432,2.15190990762342,30.6549382550006,2.98180766100976,0.00557303580456276
"poly(Prec_Varieb, 2)2",1.73158258566773,0.957772875641987,112.36503606478,1.80792610618364,0.0732929765951443
"pH",-0.0196806196318462,0.0448938484755915,271.633516305177,-0.43838121034659,0.661458401163734
"Corg_percent",-0.0049819745833741,0.0212883603832944,271.252291571003,-0.234023404981606,0.815143339451065
"poly(cover_litter, 2)1",-0.354336417004858,0.554024355616084,325.288551211803,-0.639568303113371,0.522903450327825
"poly(cover_litter, 2)2",-0.837312496074905,0.485373250005801,321.383925744065,-1.72508990980632,0.0854726103629739
"grazing_intencity",-0.0576679664960539,0.0381862458653697,164.19222622569,-1.5101763786723,0.132920474909254
"mowing1",0.0135459105580606,0.158786697002807,160.210102787394,0.0853088502610592,0.932122370466283
