"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.14651958160156,0.285717050062081,11.0127119852241,3.31861130352844e-28
"poly(pca1_clima, 2)1",-1.07542893993829,1.49842818117668,-0.717704694457751,0.472939388130577
"poly(pca1_clima, 2)2",-0.881109286824137,1.35788007589572,-0.648885938062621,0.516412104504943
"poly(Prec_Varieb, 2)1",4.09656904402728,2.34152007736416,1.74953402434148,0.0801987527784872
"poly(Prec_Varieb, 2)2",1.6686330618913,0.896978837014005,1.86028141694634,0.0628457212895098
"poly(Corg_percent, 2)1",0.83469105696804,0.545194663161587,1.53099638233372,0.12577028674861
"poly(Corg_percent, 2)2",-1.43414105138163,0.43565978085005,-3.29188305742468,0.000995189844676613
"pH",0.019573839899564,0.0344544091045633,0.56810841945252,0.569961351129004
"poly(cover_litter, 2)1",0.292006493720177,0.366399037843537,0.796963047279813,0.425472492766666
"poly(cover_litter, 2)2",-0.893041532981114,0.314300193789363,-2.84136488181617,0.00449208830650057
"grazing_intencity",0.00625198029248638,0.0319788879324367,0.195503367899948,0.844998901350371
"mowing1",-0.0558393689857182,0.132909467901571,-0.420130859504091,0.67438986013935
