"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","Model",2.45564594849262,12,173,29.4677513819114,0.145542937977944,0.290618215917621,0.105655814973689
"2","poly(Prec_Varieb, 2)2",0.307713119352516,1,173,0.307713119352516,0.00177553043551271,0.0363632086688554,7.74423918377412e-06
"3","poly(Prec_Varieb, 2)1",0.00469623493424884,1,173,0.00469623493424884,2.71451297938844e-05,0.0288343522966205,5.71991307918228e-06
"4","poly(cover_litter, 2)2",11.1163339855929,1,173,11.1163339855929,0.0603766854626965,0.143399144490606,0.010745683647346
"5","poly(Corg_percent, 2)2",8.74596293645014,1,173,8.74596293645014,0.0481219103585166,0.125969916398549,0.00570946081388656
"6","poly(pca1_clima, 2)2",6.88444166458742,1,173,6.88444166458742,0.0382714680651713,0.111115115609629,0.00260332908206351
"7","poly(cover_litter, 2)1",1.22884854339502,1,173,1.22884854339502,0.0070530715990409,0.0526305536537986,1.9443338266637e-05
"8","poly(Corg_percent, 2)1",1.0185730951946,1,173,1.0185730951946,0.00585324357669226,0.0494311849814022,1.57599756325329e-05
"9","mowing1",0.989120140250611,1,173,0.989120140250611,0.00568495397558935,0.048965819412719,1.53029809930361e-05
"10","poly(pH, 2)2",0.43731670764845,1,173,0.43731670764845,0.00252146836649696,0.0391205656650803,8.8156497471893e-06
"11","poly(pH, 2)1",0.43337953639211,1,173,0.43337953639211,0.00249882426065031,0.039040069851922,8.78101724286426e-06
"12","grazing_intencity",0.00964622039886948,1,173,0.00964622039886948,5.57553905785175e-05,0.0289716399628611,5.74829652619239e-06
"13","poly(pca1_clima, 2)1",0.000605176904996509,1,173,0.000605176904996509,3.49812016193628e-06,0.0287205129121526,5.69656053752999e-06
