"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","Model",3.62269781211843,12,173,43.4723737454212,0.200821809237174,0.343604185026989,0.147217900829621
"2","poly(Prec_Varieb, 2)2",10.5663131446836,1,173,10.5663131446836,0.0575612865109704,0.139480918424806,0.00949585921134987
"3","poly(Prec_Varieb, 2)1",4.29147254089947,1,173,4.29147254089947,0.0242057470638328,0.0879253324857007,0.000386761425466402
"4","poly(pH, 2)2",11.8362319660087,1,173,11.8362319660087,0.0640363192871482,0.148424983111265,0.0124428233286254
"5","poly(cover_litter, 2)1",7.82574706274423,1,173,7.82574706274423,0.0432778362034296,0.118775597892159,0.00405351967591918
"6","poly(pca1_clima, 2)2",2.53496162427742,1,173,2.53496162427742,0.0144413488960869,0.0694519136152061,7.13427906589546e-05
"7","poly(Corg_percent, 2)1",2.00476600302324,1,173,2.00476600302324,0.0114554937491737,0.0630966727804187,4.2148808987571e-05
"8","grazing_intencity",1.19674509502008,1,173,1.19674509502008,0.00687007724723725,0.0521549698460972,1.88298770954809e-05
"9","poly(pH, 2)1",0.982909719877714,1,173,0.982909719877714,0.00564946132617424,0.0488670972910654,1.52083213076828e-05
"10","poly(Corg_percent, 2)2",0.678853178039272,1,173,0.678853178039272,0.0039086691650559,0.0437379090333118,1.12232105466695e-05
"11","poly(pca1_clima, 2)1",0.369345738515148,1,173,0.369345738515148,0.00213039817934259,0.0377031190235203,8.23646865682425e-06
"12","poly(cover_litter, 2)2",0.299023800097346,1,173,0.299023800097346,0.00172547884887265,0.0361697971048653,7.67724809585234e-06
"13","mowing1",0.0563775789035827,1,173,0.0563775789035827,0.000325775794526138,0.0302432027812983,6.02329293373243e-06
