"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","Model",15.612809124079,12,173,187.353709488948,0.519916139491535,0.617532184839716,0.445985464590521
"2","poly(Prec_Varieb, 2)1",18.1595633661917,1,173,18.1595633661917,0.094996886613539,0.188547660538271,0.0294190202504664
"3","poly(Prec_Varieb, 2)2",3.14949978350919,1,173,3.14949978350919,0.0178796975715513,0.0762871909619564,0.000130599517140322
"4","poly(cover_litter, 2)2",16.2774556761203,1,173,16.2774556761203,0.0859978575788406,0.177263048291448,0.0240668570945626
"5","poly(Corg_percent, 2)2",13.9284779859037,1,173,13.9284779859037,0.074512338280281,0.162438754732995,0.0177053615172951
"6","poly(pca1_clima, 2)2",13.6911215520982,1,173,13.6911215520982,0.0733356864444011,0.160889996554577,0.0170867620272725
"7","poly(pH, 2)1",4.47641581656082,1,173,4.47641581656082,0.0252225953288781,0.0897088733433176,0.000457200092096049
"8","poly(Corg_percent, 2)1",4.33842521849742,1,173,4.33842521849742,0.0244641014103518,0.0883804643056021,0.000403667313909734
"9","poly(cover_litter, 2)1",4.23987787265967,1,173,4.23987787265967,0.0239216925871833,0.0874233281175567,0.000368916045110677
"10","poly(pH, 2)2",4.03428327432171,1,173,4.03428327432171,0.0227881470170974,0.0854027963976471,0.000304954619931584
"11","mowing1",0.778345898002396,1,173,0.778345898002396,0.00447895791607568,0.0454864390201247,1.23966457115494e-05
"12","poly(pca1_clima, 2)1",0.461912104685363,1,173,0.461912104685363,0.00266290218458215,0.039619166069073,9.03510890701004e-06
"13","grazing_intencity",0.124423804196289,1,173,0.124423804196289,0.000718695845809788,0.0320158822525064,6.44740469504638e-06
