"","Response","Predictor","P.Value","Std.Estimate",""
"1","alpha_10_div","clima_Comp",0.0068,0.2761,"**"
"2","alpha_10_div","Corg_Comp",2e-04,0.1625,"***"
"3","alpha_10_div","pH",0.4505,0.0476,""
"4","alpha_10_div","Litter_Comp",0.0038,0.0864,"**"
"5","alpha_10_div","grazing_intencity",0.7872,0.0128,""
"6","alpha_10_div","mowing",0.9274,-0.0044,""
"21","alpha_10_div","PrecipCV_Comp",0.05,0.3124,"*"
"11","log(alpha_10_ENSPIE)","clima_Comp",0.0082,0.3639,"**"
"22","log(alpha_10_ENSPIE)","pH",0.7067,-0.0308,""
"31","log(alpha_10_ENSPIE)","Corg_percent",0.9287,0.0053,""
"41","log(alpha_10_ENSPIE)","Litter_Comp",0.0288,0.0902,"*"
"51","log(alpha_10_ENSPIE)","grazing_intencity",0.1835,-0.0722,""
"61","log(alpha_10_ENSPIE)","mowing",0.7063,0.0207,""
"23","log(alpha_10_ENSPIE)","PrecipCV_Comp",0.0024,0.5856,"**"
