"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)2",33.4937843083939,1,339,33.4937843083939,0.0899176998901648,0.153469133227011,0.0410480516718142
"2","poly(Corg_percent, 2)2",32.6571970838588,1,339,32.6571970838588,0.0878691367746881,0.151008362712521,0.0395716955675327
"3","poly(cover_litter, 2)2",27.4247052485794,1,339,27.4247052485794,0.0748440398689132,0.135099856427187,0.0304681950050782
"4","poly(Corg_percent, 2)1",17.5640036604111,1,339,17.5640036604111,0.0492590488105999,0.102144658189704,0.0143993863593046
"5","poly(cover_litter, 2)1",0.872312803172555,1,339,0.872312803172555,0.00256658977596016,0.0243612241085545,6.93940195871891e-06
"6","poly(pca1_clima, 2)1",0.426226455681341,1,339,0.426226455681341,0.00125572634776056,0.0200573968845891,4.44295681804964e-06
"7","pH",0.234010738424821,1,339,0.234010738424821,0.000689820982027834,0.0178531007201281,3.66612223889674e-06
"8","mowing1",0.0887917380365035,1,339,0.0887917380365035,0.000261853945632917,0.0159803434918744,3.17061364835586e-06
"9","grazing_intencity",0.00753831546922319,1,339,0.00753831546922319,2.22364243187073e-05,0.0148411063707132,2.92318372721213e-06
"10","poly(Prec_Varieb, 2)1",22.9946450908592,1,339,22.9946450908592,0.0635220586898119,0.120842103026369,0.023014036362522
"11","poly(Prec_Varieb, 2)2",22.9542828194532,1,339,22.9542828194532,0.0634176300958512,0.120708436482703,0.0229475718478157
