"","Response","Predictor","P.Value","Std.Estimate",""
"1","gamma_100_div","clima_Comp",0.0086,0.2174,"**"
"2","gamma_100_div","Corg_Comp",0,0.2144,"***"
"3","gamma_100_div","pH_Comp",0.0131,0.1937,"*"
"4","gamma_100_div","Litter_Comp",0,0.214,"***"
"5","gamma_100_div","grazing_intencity",0.7478,0.0134,""
"6","gamma_100_div","mowing",0.3345,-0.0393,""
"21","gamma_100_div","PrecipCV_Comp",0.0305,0.3452,"*"
"11","log(gamma_100_ENSPIE)","clima_Comp",0.004,0.4199,"**"
"22","log(gamma_100_ENSPIE)","pH_Comp",0.5842,0.0376,""
"31","log(gamma_100_ENSPIE)","Corg_Comp",0.2124,0.0931,""
"41","log(gamma_100_ENSPIE)","Litter_Comp",0.0027,0.1875,"**"
"51","log(gamma_100_ENSPIE)","grazing_intencity",0.1311,-0.0885,""
"61","log(gamma_100_ENSPIE)","mowing",0.9532,0.0035,""
"23","log(gamma_100_ENSPIE)","PrecipCV_Comp",0.0132,0.5441,"*"
