"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",0.139038066210476,1,339,0.139038066210476,0.000409973640909284,0.0166512099920416,3.33398805332297e-06
"2","poly(pca1_clima, 2)2",0.24265896974142,1,339,0.24265896974142,0.000715296155496363,0.0179585035473688,3.69796190862204e-06
"3","poly(Prec_Varieb, 2)1",47.8755742231312,1,339,47.8755742231312,0.123749281197884,0.192815919758426,0.0668488145179997
"4","poly(Prec_Varieb, 2)2",13.2327281181753,1,339,13.2327281181753,0.0375681390791591,0.0859834742091579,0.00820728474388813
"5","Corg_percent",0.0801943708072101,1,339,0.0801943708072101,0.000236505617663744,0.0158630086531687,3.1434724631784e-06
"6","pH",0.357184035656166,1,339,0.357184035656166,0.00105253123393032,0.0192970136659923,4.14661005872645e-06
"7","poly(cover_litter, 2)1",0.57471028824619,1,339,0.57471028824619,0.00169244137102657,0.0215936581236905,5.15394666275206e-06
"8","poly(cover_litter, 2)2",3.60746697404959,1,339,3.60746697404959,0.0105294464417579,0.0425991133394163,0.00010373730943316
"9","grazing_intencity",3.89240619793409,1,339,3.89240619793409,0.0113516838739415,0.0441755742693175,0.000136066409044585
"10","mowing1",0.0124946987986396,1,339,0.0124946987986396,3.68561601534503e-05,0.0149125423801051,2.9377080196689e-06
"11","Model",26.0540405323776,10,339,260.540405323776,0.434566883249634,0.511312029725735,0.373262833217058
