"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.81129376107234,0.340858525277124,200.610224068044,5.31391655702236,2.8421502401187e-07
"poly(pca1_clima, 2)1",-0.303616194992543,1.58064957826381,71.9152773239585,-0.192083178439864,0.848218407412916
"poly(pca1_clima, 2)2",-0.347580701489777,1.39921551409863,70.6892980762018,-0.248411126082809,0.804536579180115
"poly(Prec_Varieb, 2)1",6.416581448091,2.1519099070824,30.654938372823,2.98180766163707,0.0055730357836334
"poly(Prec_Varieb, 2)2",1.73158258595393,0.957772875641733,112.365036107217,1.80792610648294,0.0732929765472293
"pH",-0.0196806196095414,0.0448938484755736,271.633514727941,-0.43838120984993,0.661458401525282
"Corg_percent",-0.00498197458846544,0.0212883603842636,271.252291544286,-0.234023405210113,0.815143339273866
"poly(cover_litter, 2)1",-0.354336416696778,0.554024355616086,325.288551223555,-0.639568302557292,0.522903450688972
"poly(cover_litter, 2)2",-0.837312496077971,0.48537325000131,321.383925756049,-1.72508990982859,0.0854726103589184
"grazing_intencity",-0.0576679664894447,0.0381862458692634,164.192226208751,-1.51017637834523,0.132920474992838
"mowing1",0.0135459105042483,0.158786697011878,160.210102705349,0.0853088499172883,0.932122370739198
