"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.52411680512723,0.0328240937924835,8.73001798312187,46.4328677209741,9.29391295216283e-12
"poly(pca1_clima, 2)1",0.224573657731129,0.422844423819056,77.1900574015983,0.531102327666567,0.596872808869252
"poly(pca1_clima, 2)2",-0.361718485839673,0.3083647956335,41.6212580518753,-1.17302134018432,0.247456927975692
"poly(Corg_percent, 2)1",-0.350210944374143,0.261665560378138,156.232963540889,-1.33839143320216,0.182713367935605
"poly(Corg_percent, 2)2",0.164667114788004,0.199177293715228,162.87118943256,0.826736380018475,0.409596029799361
"poly(pH, 2)1",0.310767076193135,0.371064531650017,86.6546980937738,0.837501430846119,0.404614724705401
"poly(pH, 2)2",0.834280879373922,0.259305564125739,142.89295430062,3.21736589874861,0.00160066923059001
"poly(cover_litter, 2)1",0.592766019807112,0.227675452892946,139.912971371832,2.6035570030724,0.0102213614538576
"poly(cover_litter, 2)2",-0.111422850653498,0.209204114656122,161.336254091145,-0.532603533332259,0.595040838786038
"grazing_intencity",0.0196108020818415,0.0176427242132193,162.366436182845,1.11155181279474,0.26797410867259
"mowing1",-0.0174386572421592,0.073243569964656,162.344273755633,-0.238091306179837,0.812110520203123
