"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.83595903742678,0.105080495779586,10.099646822755,17.4719297221231,7.0456734218084e-09
"poly(pca1_clima, 2)1",-0.352017200393726,1.31252067467963,86.5409494522932,-0.268199356539392,0.789184122124393
"poly(pca1_clima, 2)2",-0.753372161804036,1.10642092558423,70.2430035261123,-0.680909176953815,0.498167493599561
"poly(Prec_Varieb, 2)1",4.53369625687797,1.69159317404638,33.5852403350286,2.68013392725694,0.0113169125693906
"poly(Prec_Varieb, 2)2",0.711842859059326,0.76725821318869,111.49953771372,0.927774830980225,0.3555284067392
"poly(pH, 2)1",-0.000891228704446465,0.936264401837508,138.705588323273,-0.000951898526417691,0.999241862648784
"poly(pH, 2)2",-0.178958006328353,0.632644334226711,160.041075102899,-0.282873008808488,0.777639723421277
"poly(Corg_percent, 2)1",0.644371406240798,0.648812242394844,159.725002153603,0.993155437176009,0.322136381404055
"poly(Corg_percent, 2)2",-0.195999471088739,0.482753045162976,157.990969704825,-0.406003593457541,0.685289315334284
"poly(cover_litter, 2)1",-0.378724715954748,0.562188944426646,159.078008469683,-0.673660910107356,0.501504540960844
"poly(cover_litter, 2)2",-1.40826723493043,0.502186980060364,160.799684759586,-2.80426871035397,0.0056648561408532
"grazing_intencity",-0.0791936278415599,0.0427415955493119,157.770116500744,-1.85284678364879,0.0657723677988147
"mowing1",-0.0168221345628657,0.175573941937916,157.707975785036,-0.0958122508225855,0.923791326547849
