"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.74339231582425,0.147164190663612,25.4368423387786,9.87162680304846e-143
"poly(pca1_clima, 2)1",0.522478795979364,0.927296816164197,0.563442887834577,0.573133339926938
"poly(pca1_clima, 2)2",-1.68509812387335,0.738964354409662,-2.28035102615947,0.0225868777364148
"poly(Corg_percent, 2)1",1.02252256041325,0.479036192956724,2.13454134666109,0.0327984928569457
"poly(Corg_percent, 2)2",-1.47586589083919,0.354607098457751,-4.16197503450437,3.15506851576999e-05
"poly(pH, 2)1",1.30282737322512,0.738559927268668,1.7640103735972,0.07773023269079
"poly(pH, 2)2",-0.965441482260027,0.494595543456082,-1.95198176577536,0.0509403695137093
"poly(cover_litter, 2)1",0.864134673670869,0.426896040429887,2.02422742736307,0.0429467567685584
"poly(cover_litter, 2)2",-1.6267330037833,0.379034801714663,-4.29177742102929,1.77248574200223e-05
"grazing_intencity",0.0125876631258363,0.031086340767164,0.404925855381874,0.685532012468324
"mowing1",-0.129120214540317,0.12671860664157,-1.01895229092552,0.308225616849418
