"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",0.369345738515148,1,173,0.369345738515148,0.00213039817934259,0.0377031190235203,8.23646865682425e-06
"2","poly(pca1_clima, 2)2",2.53496162427742,1,173,2.53496162427742,0.0144413488960869,0.0694519136152061,7.13427906589546e-05
"3","poly(Corg_percent, 2)1",2.00476600302324,1,173,2.00476600302324,0.0114554937491737,0.0630966727804187,4.2148808987571e-05
"4","poly(Corg_percent, 2)2",0.678853178039272,1,173,0.678853178039272,0.0039086691650559,0.0437379090333118,1.12232105466695e-05
"5","poly(pH, 2)2",11.8362319660087,1,173,11.8362319660087,0.0640363192871482,0.148424983111265,0.0124428233286254
"6","poly(pH, 2)1",0.982909719877714,1,173,0.982909719877714,0.00564946132617424,0.0488670972910654,1.52083213076828e-05
"7","poly(cover_litter, 2)1",7.82574706274423,1,173,7.82574706274423,0.0432778362034296,0.118775597892159,0.00405351967591918
"8","poly(cover_litter, 2)2",0.299023800097346,1,173,0.299023800097346,0.00172547884887265,0.0361697971048653,7.67724809585234e-06
"9","grazing_intencity",1.19674509502008,1,173,1.19674509502008,0.00687007724723725,0.0521549698460972,1.88298770954809e-05
"10","mowing1",0.0563775789035827,1,173,0.0563775789035827,0.000325775794526138,0.0302432027812983,6.02329293373243e-06
"11","Model",2.38964398587029,10,173,23.8964398587029,0.121365525328195,0.258433763995342,0.0814306563481952
