"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.43313444680481,0.309610086870992,10.1164538262505,17.5483121422613,6.60637743793866e-09
"poly(pca1_clima, 2)1",-3.2401483312501,2.99794389713097,263.542052437435,-1.08079018234828,0.280778485362412
"poly(pca1_clima, 2)2",-0.841553701988128,2.63872220056549,248.028970093976,-0.318924705983745,0.750052025899559
"poly(Prec_Varieb, 2)1",10.4962232596598,4.62097067458499,103.120624920168,2.27143256229438,0.0251978979506772
"poly(Prec_Varieb, 2)2",5.29093145518472,1.72648140567185,294.981862890735,3.06457482704587,0.00238134091591304
"poly(Corg_percent, 2)1",4.30596629305606,1.29888923882745,321.660044631069,3.315114302543,0.00102068053931366
"poly(Corg_percent, 2)2",-5.43192604533313,0.985985379805797,320.094879123725,-5.50913447256491,7.42054223297952e-08
"poly(pH, 2)1",3.69277632866114,1.92196115681425,325.467429530265,1.92135846011691,0.055559658034998
"poly(pH, 2)2",-4.75921454094353,1.30385862638286,326.754877613737,-3.6501001294492,0.000305091825288041
"poly(cover_litter, 2)1",1.2977955160929,1.12782106238176,326.138204615916,1.15071048004032,0.250694342892414
"poly(cover_litter, 2)2",-5.49418289363694,1.0213555659498,323.84264328145,-5.37930479531649,1.43591910966394e-07
"grazing_intencity",-0.0169482210747615,0.062258975939012,322.042834522829,-0.272221327433392,0.785626291369408
"mowing1",-0.203758938329885,0.25672213673424,322.716009378813,-0.793694462510716,0.42795651945085
