"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.20061330200733,0.712919016169189,112.809380841913,7.29481635930038,4.44710079819792e-11
"poly(pca1_clima, 2)1",-1.09024164660543,2.50809405053296,261.386669227293,-0.434689299778751,0.664146612194461
"poly(pca1_clima, 2)2",-5.97466171524805,2.04272351321964,246.637718286505,-2.92485090448246,0.00376720381546197
"poly(Corg_percent, 2)1",5.1458331441775,1.31581908689846,326.503660338122,3.91074517417651,0.000111944468537376
"poly(Corg_percent, 2)2",-5.8009864345178,1.00077803583219,322.830085328151,-5.79647656804738,1.61134266699522e-08
"pH",0.0358593942389153,0.0865593708799215,329.709989697979,0.414275125551234,0.678942009725964
"poly(cover_litter, 2)1",0.98890128867886,1.15772539465766,328.45789455034,0.854176036253641,0.393630002281769
"poly(cover_litter, 2)2",-5.2465138995577,1.04866897121139,325.203361806299,-5.00302196745373,9.25646479689159e-07
"grazing_intencity",-0.00563163917633732,0.0630196946663578,323.182482620845,-0.089363161883799,0.928848651908459
"mowing1",-0.0786792983078401,0.260581039537713,323.539459163203,-0.3019379247524,0.762893376603848
