"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.84010637652279,0.122345643106115,9.28159451300675,15.0402280768332,7.87614635721795e-08
"poly(pca1_clima, 2)1",1.59931317360429,1.12845033825062,102.922482724084,1.41726500439852,0.159425576336261
"poly(pca1_clima, 2)2",-2.7091570184594,0.862403031901525,77.0377772577709,-3.14140479363337,0.0023858066170672
"poly(pH, 2)1",-0.141682394899932,0.956595682897839,148.6732591531,-0.148111054056537,0.882455813733457
"poly(pH, 2)2",-0.201814452883556,0.640748092548298,162.781478023291,-0.314966919497063,0.753190150297064
"poly(Corg_percent, 2)1",0.978970654205642,0.63752734685953,162.446199894381,1.53557437030437,0.126588204305876
"poly(Corg_percent, 2)2",-0.338649244915423,0.477292934683981,158.854200090364,-0.709520758231305,0.479041498372184
"poly(cover_litter, 2)1",-0.418880877289833,0.56428278201484,162.370230142756,-0.742324399468947,0.458963323538397
"poly(cover_litter, 2)2",-1.43374278518979,0.505894158397158,161.138063513489,-2.83407657786042,0.00518419075365803
"grazing_intencity",-0.071329761430731,0.0422208789643936,158.870717117644,-1.68944283445368,0.0930960948570852
"mowing1",-0.00574982021431183,0.175136683406214,158.437141696794,-0.0328304733336513,0.973851099761491
