"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.72922854942138,0.13843196422234,26.9390712641464,7.66061527532394e-160
"poly(pca1_clima, 2)1",-0.810082654277642,1.05832404027014,-0.76543915044287,0.44401008753061
"poly(pca1_clima, 2)2",-0.315904482993187,0.917614829658575,-0.344266976494624,0.730645517023115
"poly(Prec_Varieb, 2)1",3.69710013106778,1.57161862488846,2.35241557494916,0.018651923332359
"poly(Prec_Varieb, 2)2",0.761118781862047,0.624910540303154,1.21796438493871,0.223237507177018
"poly(Corg_percent, 2)1",0.817700645417389,0.481815965769125,1.69712235274746,0.0896735310384377
"poly(Corg_percent, 2)2",-1.34114738830942,0.357354014924049,-3.75299376052752,0.000174735205888844
"poly(pH, 2)1",1.29528128676242,0.722537465152913,1.79268390807706,0.0730234810306464
"poly(pH, 2)2",-0.967258803489186,0.483100174268955,-2.0021909637124,0.0452641971799174
"poly(cover_litter, 2)1",0.907902957445984,0.425265552020381,2.13490830172502,0.0327685010864042
"poly(cover_litter, 2)2",-1.64184014038617,0.375230855822546,-4.37554671986417,1.21128493548815e-05
"grazing_intencity",0.00677757664363797,0.0309918153392531,0.218689243254936,0.826892128818411
"mowing1",-0.145131255767224,0.125525610702689,-1.15618840613308,0.247604101045892
